tax_id,count,norm_activator_count,family
10640.0,3,0.3333333333333333,Caulimoviridae
10641.0,8,0.75,Caulimoviridae
10649.0,2,1.0,Caulimoviridae
10653.0,4,0.25,Caulimoviridae
10654.0,2,0.5,Caulimoviridae
10826.0,2,0.0,Geminiviridae
10840.0,7,0.5714285714285714,Geminiviridae
11307.0,2,1.0,Rhabdoviridae
12042.0,1,1.0,Solemoviridae
12045.0,2,1.0,Solemoviridae
12138.0,2,0.5,Tombusviridae
12161.0,3,1.0,Closteroviridae
12162.0,3,0.0,Closteroviridae
12166.0,3,0.3333333333333333,Betaflexiviridae
12167.0,1,1.0,Betaflexiviridae
12169.0,1,0.0,Betaflexiviridae
12173.0,1,0.0,Betaflexiviridae
12177.0,1,1.0,Alphaflexiviridae
12178.0,9,1.0,Alphaflexiviridae
12179.0,5,0.6,Alphaflexiviridae
12180.0,2,1.0,Alphaflexiviridae
12182.0,1,1.0,Alphaflexiviridae
12183.0,2,0.5,Alphaflexiviridae
12187.0,2,0.5,Alphaflexiviridae
12188.0,3,0.3333333333333333,Alphaflexiviridae
12194.0,5,0.4,Alphaflexiviridae
12197.0,2,0.0,Potyviridae
12202.0,8,0.5,Potyviridae
12203.0,1,1.0,Potyviridae
12204.0,1,1.0,Potyviridae
12205.0,2,0.0,Potyviridae
12208.0,4,0.25,Potyviridae
12209.0,2,0.5,Potyviridae
12211.0,2,1.0,Potyviridae
12215.0,1,0.0,Potyviridae
12216.0,2,0.5,Potyviridae
12222.0,1,1.0,Potyviridae
12224.0,2,0.5,Potyviridae
12227.0,1,1.0,Potyviridae
12228.0,2,0.0,Potyviridae
12230.0,3,0.3333333333333333,Potyviridae
12232.0,1,1.0,Potyviridae
12430.0,2,0.0,Alphaflexiviridae
12431.0,2,0.5,Alphaflexiviridae
12433.0,1,0.0,Alphaflexiviridae
12458.0,3,1.0,Betaflexiviridae
12471.0,1,0.0,Solemoviridae
12472.0,5,0.4,Solemoviridae
12473.0,1,0.0,Solemoviridae
12777.0,1,1.0,Secoviridae
12844.0,4,0.75,Potyviridae
28347.0,2,0.0,Betaflexiviridae
29271.0,2,0.5,Potyviridae
31722.0,5,1.0,Betaflexiviridae
31741.0,7,0.7142857142857143,Potyviridae
31744.0,3,0.6666666666666666,Solemoviridae
32612.0,2,0.5,Rhabdoviridae
32619.0,9,0.7777777777777778,Potyviridae
32624.0,4,0.25,Potyviridae
33765.0,1,0.0,Potyviridae
35287.0,1,0.0,Secoviridae
35288.0,4,0.75,Betaflexiviridae
35289.0,4,0.5,Betaflexiviridae
35290.0,5,0.6,Closteroviridae
38062.0,3,0.6666666666666666,Caulimoviridae
40640.0,2,0.5,Potyviridae
40666.0,4,0.75,Potyviridae
40687.0,3,0.3333333333333333,Tospoviridae
40979.0,1,0.0,Solemoviridae
41459.0,3,0.6666666666666666,Potyviridae
42004.0,8,0.5,Potyviridae
42631.0,1,0.0,Potyviridae
42882.0,1,0.0,Betaflexiviridae
43130.0,2,0.0,Potyviridae
43240.0,1,1.0,Potyviridae
45661.0,3,0.0,Potyviridae
46076.0,1,1.0,Potyviridae
46619.0,7,0.8571428571428571,Potyviridae
46917.0,2,0.0,Potyviridae
47903.0,6,0.5,Caulimoviridae
48200.0,3,0.3333333333333333,Potyviridae
51354.0,3,0.0,Secoviridae
51680.0,3,0.3333333333333333,Virgaviridae
52280.0,3,0.3333333333333333,Potyviridae
52996.0,1,0.0,Caulimoviridae
53010.0,2,1.0,Geminiviridae
53181.0,2,0.0,Tombusviridae
53260.0,1,0.0,Geminiviridae
53954.0,2,0.5,Potyviridae
55951.0,3,0.3333333333333333,Closteroviridae
57119.0,4,0.0,Geminiviridae
59380.0,4,0.75,Rhabdoviridae
59504.0,2,1.0,Caulimoviridae
62059.0,8,0.625,Potyviridae
64003.0,2,1.0,Closteroviridae
65467.0,4,0.25,Betaflexiviridae
66200.0,1,1.0,Solemoviridae
67761.0,1,0.0,Betaflexiviridae
70177.0,3,0.0,Closteroviridae
71030.0,1,0.0,Tymoviridae
71032.0,1,1.0,Closteroviridae
73423.0,3,0.3333333333333333,Potyviridae
75387.0,4,0.75,Betaflexiviridae
78395.0,2,0.5,Geminiviridae
81877.0,2,0.5,Betaflexiviridae
82791.0,1,1.0,Closteroviridae
85454.0,1,1.0,Alphaflexiviridae
87097.0,2,0.5,Potyviridae
91613.0,4,0.25,Potyviridae
91753.0,1,1.0,Solemoviridae
94290.0,1,0.0,Solemoviridae
101764.0,4,0.5,Betaflexiviridae
104389.0,6,0.8333333333333334,Potyviridae
104390.0,1,0.0,Potyviridae
104392.0,2,0.5,Potyviridae
104637.0,2,1.0,Potyviridae
112227.0,3,0.3333333333333333,Alphaflexiviridae
112228.0,5,0.6,Alphaflexiviridae
112229.0,7,0.5714285714285714,Alphaflexiviridae
112437.0,4,0.25,Potyviridae
114892.0,2,0.5,Potyviridae
114921.0,2,0.5,Potyviridae
114922.0,6,0.6666666666666666,Potyviridae
123735.0,3,0.0,Geminiviridae
128818.0,10,0.7,Potyviridae
129141.0,5,0.4,Betaflexiviridae
129732.0,6,0.5,Potyviridae
131082.0,2,0.5,Solemoviridae
131083.0,1,1.0,Solemoviridae
137475.0,1,1.0,Potyviridae
137758.0,7,0.7142857142857143,Potyviridae
138982.0,4,0.5,Betaflexiviridae
146500.0,1,1.0,Potyviridae
148879.0,3,0.6666666666666666,Betaflexiviridae
150284.0,2,1.0,Alphaflexiviridae
154339.0,12,0.4166666666666667,Closteroviridae
156690.0,2,0.5,Solemoviridae
157270.0,1,0.0,Caulimoviridae
157777.0,5,1.0,Betaflexiviridae
160842.0,2,0.5,Potyviridae
160843.0,2,0.0,Potyviridae
160844.0,1,1.0,Betaflexiviridae
163655.0,8,0.25,Geminiviridae
165250.0,4,0.5,Betaflexiviridae
167129.0,10,0.7,Potyviridae
167634.0,10,0.8,Closteroviridae
168135.0,1,0.0,Potyviridae
172394.0,4,0.0,Geminiviridae
174178.0,3,0.3333333333333333,Caulimoviridae
178354.0,1,1.0,Caulimoviridae
180903.0,1,0.0,Closteroviridae
183585.0,7,0.42857142857142855,Betaflexiviridae
187977.0,5,0.4,Potyviridae
187978.0,1,1.0,Potyviridae
193121.0,4,0.5,Solemoviridae
195059.0,2,1.0,Rhabdoviridae
195060.0,5,0.4,Rhabdoviridae
196400.0,2,0.0,Betaflexiviridae
201862.0,1,0.0,Potyviridae
203168.0,1,0.0,Closteroviridae
204478.0,2,0.0,Potyviridae
206392.0,3,0.6666666666666666,Potyviridae
213888.0,1,1.0,Caulimoviridae
216614.0,5,0.6,Betaflexiviridae
217615.0,2,0.5,Closteroviridae
217686.0,2,0.5,Closteroviridae
218923.0,5,0.2,Solemoviridae
220608.0,1,0.0,Geminiviridae
221054.0,6,0.3333333333333333,Tolecusatellitidae
221262.0,5,0.4,Potyviridae
222460.0,1,0.0,Geminiviridae
223334.0,4,0.75,Geminiviridae
223337.0,5,0.4,Geminiviridae
223344.0,4,1.0,Geminiviridae
224578.0,1,0.0,Tombusviridae
225752.0,11,1.0,Geminiviridae
227137.0,1,0.0,Geminiviridae
228582.0,1,1.0,Solemoviridae
240492.0,1,1.0,Geminiviridae
240865.0,1,0.0,Geminiviridae
241651.0,3,0.6666666666666666,Potyviridae
253700.0,1,0.0,Alphaflexiviridae
253701.0,4,0.75,Alphaflexiviridae
253702.0,6,0.6666666666666666,Alphaflexiviridae
255066.0,3,0.6666666666666666,Potyviridae
262957.0,5,0.6,Caulimoviridae
263004.0,3,0.6666666666666666,Betaflexiviridae
263892.0,1,1.0,Caulimoviridae
264076.0,3,1.0,Caulimoviridae
265877.0,1,1.0,Closteroviridae
268316.0,3,0.6666666666666666,Geminiviridae
270478.0,5,0.4,Potyviridae
279896.0,1,0.0,Rhabdoviridae
282712.0,1,1.0,Potyviridae
290030.0,4,0.75,Geminiviridae
291286.0,1,1.0,Potyviridae
292627.0,1,1.0,Tolecusatellitidae
299200.0,1,0.0,Potyviridae
300740.0,2,0.5,Closteroviridae
301865.0,3,0.6666666666666666,Alphaflexiviridae
305785.0,3,1.0,Solemoviridae
307110.0,1,0.0,Geminiviridae
310749.0,5,0.6,Endornaviridae
317027.0,2,1.0,Alphaflexiviridae
320856.0,3,0.6666666666666666,Potyviridae
322053.0,1,1.0,Potyviridae
323118.0,3,0.3333333333333333,Potyviridae
326941.0,1,0.0,Closteroviridae
328430.0,3,0.3333333333333333,Solemoviridae
328670.0,5,1.0,Caulimoviridae
328671.0,14,0.7142857142857143,Caulimoviridae
329048.0,2,1.0,Potyviridae
329164.0,1,0.0,Betaflexiviridae
332471.0,2,0.5,Potyviridae
334778.0,11,0.45454545454545453,Caulimoviridae
335963.0,5,0.4,Betaflexiviridae
337823.0,3,0.6666666666666666,Geminiviridae
337824.0,2,0.0,Tolecusatellitidae
337826.0,4,0.0,Geminiviridae
348823.0,3,0.6666666666666666,Rhabdoviridae
348894.0,2,0.5,Secoviridae
351426.0,1,0.0,Betaflexiviridae
351428.0,1,0.0,Betaflexiviridae
354328.0,8,0.625,Endornaviridae
360579.0,1,1.0,Geminiviridae
362692.0,2,1.0,Endornaviridae
362693.0,1,0.0,Endornaviridae
365150.0,6,0.3333333333333333,Alphaflexiviridae
367061.0,1,0.0,Geminiviridae
367121.0,2,0.5,Closteroviridae
367682.0,6,0.6666666666666666,Betaflexiviridae
369752.0,1,1.0,Potyviridae
373398.0,2,1.0,Potyviridae
373861.0,4,1.0,Closteroviridae
375546.0,3,0.3333333333333333,Betaflexiviridae
377610.0,2,0.0,Geminiviridae
379728.0,2,0.0,Geminiviridae
380669.0,3,0.6666666666666666,Caulimoviridae
