tax_id,genome_structure
41460,ssRNA(+)
1421055,ssRNA(+)
1503864,ssRNA(+)
2170240,ssRNA(+)
1416026,ssRNA(+)
1514896,dsRNA
2219873,ssRNA(+)
2487100,ssRNA(-)
228578,ssRNA(+)
270478,ssRNA(+)
220813,ssDNA
1985202,dsRNA
2560851,dsRNA
111418,ssRNA(+)
1679239,ssRNA(+)
1406816,ssRNA(+)
390849,ssRNA(+)
12232,ssRNA(+)
