tax_id,genome_structure
858517,ssDNA
2169824,ssDNA
326811,ssDNA
649509,ssDNA
114891,ssRNA(+)
1128119,ssRNA(+)
12177,ssRNA(+)
12198,ssRNA(+)
2340808,dsRNA
2510428,ssRNA(+)
1890365,ssRNA(+)
479060,ssRNA(+)
40979,ssRNA(+)
2161875,ssDNA
2161877,ssDNA
2161878,ssDNA
2161879,ssDNA
2161880,ssDNA
2172094,ssDNA
241525,ssRNA(+)
404404,ssRNA(+)
1775456,ssRNA(-)
91613,ssRNA(+)
10653,dsDNA
1897538,ssDNA
1297646,ssDNA
1297645,ssDNA
937809,ssRNA(+)
1177751,ssRNA(+)
1177752,ssRNA(+)
1177753,ssRNA(+)
2591696,ssRNA(+)
222456,ssDNA
307111,ssDNA
307110,ssDNA
620894,ssDNA
304222,ssDNA
222460,ssDNA
222459,ssDNA
222464,ssDNA
306025,ssDNA
674996,ssDNA
53010,ssDNA
312295,ssRNA(+)
12199,ssRNA(+)
67761,ssRNA(+)
12627,ssRNA(+)
1913124,ssRNA(+)
1913125,ssRNA(+)
292627,ssDNA
417288,ssDNA
411248,ssDNA
207697,ssDNA
671095,ssDNA
1188819,ssDNA
2560401,ssRNA(+)
146499,ssRNA(+)
12235,ssRNA(+)
165432,ssRNA(+)
12143,ssRNA(+)
1092564,ssRNA(+)
137475,ssRNA(+)
1776177,dsRNA
91753,ssRNA(+)
2005044,ssRNA(+)
1819678,ssDNA
1770618,ssRNA(+)
549205,dsDNA
1602124,ssRNA(+)
12178,ssRNA(+)
12144,ssRNA(+)
104389,ssRNA(+)
861561,ssRNA(+)
2364291,ssRNA(-)
2676436,ssRNA(-)
1985699,ssRNA(-)
213888,dsDNA
578107,ssRNA(+)
216614,ssRNA(+)
282712,ssRNA(+)
29271,ssRNA(+)
1038082,ssDNA
195059,ssRNA(-)
2562807,ssRNA(+)
547467,ssRNA(+)
1196237,ssDNA
889510,ssDNA
1619899,dsDNA
2169727,dsDNA
2011125,dsDNA
2169728,dsDNA
52996,dsDNA
2491019,ssRNA(+)
2303485,dsDNA
1247115,ssRNA(+)
1247116,ssRNA(+)
111427,ssRNA(+)
1400526,ssRNA(+)
1198144,ssRNA(+)
380669,dsDNA
2169905,ssDNA
742163,ssDNA
223265,ssDNA
2734556,ssRNA(+)
341167,ssRNA(+)
875324,ssDNA
12151,ssRNA(+)
270256,ssRNA(+)
488317,ssRNA(-)
2304214,ssRNA(+)
1569052,ssRNA(+)
1569053,ssRNA(+)
1569054,ssRNA(+)
1569055,ssRNA(+)
1569056,ssRNA(+)
167018,ssRNA(+)
2596881,ssDNA
2020881,ssDNA
2496575,ssDNA
640136,ssDNA
498805,ssDNA
73423,ssRNA(+)
638358,ssDNA
1030595,ssDNA
496807,ssDNA
390443,ssDNA
447603,ssDNA
12152,ssRNA(+)
1538549,ssRNA(+)
2586645,ssRNA(+)
2013968,ssRNA(+)
221054,ssDNA
2010319,ssDNA
186637,ssDNA
519350,ssDNA
223276,ssDNA
335404,ssDNA
436246,ssDNA
269095,ssDNA
1853865,ssDNA
2291614,ssDNA
412688,ssDNA
270117,ssDNA
2169733,ssDNA
429564,ssDNA
77811,ssDNA
291286,ssRNA(+)
1578825,ssDNA
666147,ssDNA
2093275,ssDNA
1441799,ssDNA
1453080,ssDNA
1453082,ssDNA
1453083,ssDNA
2052606,ssDNA
2283388,ssRNA(+)
1034096,dsDNA
548908,ssRNA(+)
10649,dsDNA
12179,ssRNA(+)
99585,ssRNA(+)
421012,ssRNA(+)
1200971,ssDNA
2050584,ssDNA
1218727,ssDNA
332471,ssRNA(+)
676234,ssRNA(+)
1468172,ssRNA(+)
47900,ssRNA(+)
12458,ssRNA(+)
55074,ssRNA(+)
12433,ssRNA(+)
12432,ssRNA(+)
12431,ssRNA(+)
12430,ssRNA(+)
150285,ssRNA(+)
150284,ssRNA(+)
12201,ssRNA(+)
1972994,ssRNA(+)
1884832,ssRNA(+)
157270,dsDNA
509531,ssDNA
208084,ssRNA(+)
2338396,Unknown
2169998,ssRNA(+)
2052838,dsDNA
81877,ssRNA(+)
2560515,ssRNA(+)
141860,Unknown
103722,ssRNA(+)
1906317,ssDNA
367121,ssRNA(+)
1815581,ssRNA(+)
47985,ssRNA(+)
64003,ssRNA(+)
55951,ssRNA(+)
70177,ssRNA(+)
71032,ssRNA(+)
203168,ssRNA(+)
217615,ssRNA(+)
1051792,ssRNA(+)
1381007,ssDNA
103723,ssRNA(+)
1471299,dsDNA
167634,ssRNA(+)
196400,ssRNA(+)
1343493,Unknown
630199,ssRNA(+)
1050407,dsDNA
35288,ssRNA(+)
35289,ssRNA(+)
51617,ssRNA(+)
516956,ssRNA(+)
1221437,ssRNA(+)
2045345,ssRNA(+)
2052157,ssRNA(+)
2093496,ssRNA(+)
2016034,ssRNA(+)
33761,ssRNA(+)
47740,ssRNA(+)
345030,ssRNA(-)
1324128,ssRNA(+)
409486,ssRNA(+)
1003891,ssRNA(+)
1428189,ssDNA
12171,ssRNA(+)
2184469,dsRNA
592207,ssRNA(+)
592206,ssRNA(+)
1383052,ssDNA
369762,ssRNA(+)
48876,ssRNA(+)
114892,ssRNA(+)
1459800,dsDNA
53181,ssRNA(+)
233051,ssRNA(+)
185955,ssRNA(+)
2164175,ssDNA
335963,ssRNA(+)
421010,ssRNA(+)
2282643,Unknown
199587,ssDNA
163655,ssDNA
1504732,ssDNA
944994,ssDNA
944996,ssDNA
2303390,ssDNA
943272,ssRNA(+)
435486,ssDNA
1198498,ssDNA
417192,ssDNA
180587,ssDNA
435487,ssDNA
240865,ssDNA
104263,ssRNA(+)
142843,ssRNA(+)
1774276,dsRNA
264076,dsDNA
214439,ssRNA(+)
1711684,dsRNA
1979541,ssRNA(+)
1923137,Unknown
421013,ssRNA(+)
375546,ssRNA(+)
112228,ssRNA(+)
1367218,ssDNA
2170135,ssRNA(+)
524023,ssRNA(+)
104664,ssRNA(+)
653358,ssDNA
204478,ssRNA(+)
206392,ssRNA(+)
32620,ssRNA(+)
2731270,dsDNA
1809767,ssRNA(+)
1817526,ssRNA(+)
77344,ssRNA(+)
79917,ssRNA(+)
1853762,ssRNA(+)
1960887,ssRNA(+)
1775963,ssRNA(+)
1547577,ssDNA
2169734,ssDNA
543876,ssDNA
1530093,ssDNA
569949,ssDNA
1213406,ssDNA
1485012,ssDNA
31742,ssRNA(+)
2020956,dsDNA
2093273,ssDNA
132477,ssRNA(+)
674908,ssRNA(+)
508750,ssDNA
12158,ssRNA(+)
1080799,ssRNA(+)
322053,ssRNA(+)
111970,ssRNA(+)
717848,ssRNA(+)
1468454,dsRNA
1965306,dsRNA
515320,dsDNA
42004,ssRNA(+)
58177,ssDNA
2200955,ssRNA(+)
1688637,ssRNA(+)
12202,ssRNA(+)
32612,ssRNA(-)
447171,ssRNA(+)
471285,ssRNA(-)
670251,ssDNA
478550,ssRNA(+)
1899566,ssRNA(+)
32624,ssRNA(+)
12173,ssRNA(+)
12194,ssRNA(+)
2136283,ssRNA(+)
2093276,ssDNA
447605,ssDNA
300411,ssDNA
1740165,ssDNA
217686,ssRNA(+)
154339,ssRNA(+)
365150,ssRNA(+)
2282644,Unknown
1993907,ssRNA(+)
12470,ssRNA(+)
390444,ssDNA
325113,ssDNA
325111,ssDNA
1705090,ssDNA
573615,ssRNA(+)
2054409,ssRNA(+)
48201,ssRNA(+)
1904880,ssDNA
1129034,ssDNA
1129035,ssDNA
1729670,dsRNA
1874267,dsRNA
51354,ssRNA(+)
12138,ssRNA(+)
12203,ssRNA(+)
348823,ssRNA(-)
279896,ssRNA(-)
137556,ssRNA(+)
59749,ssRNA(+)
2557970,ssDNA
1182518,ssDNA
268316,ssDNA
2025388,ssDNA
445227,ssRNA(+)
1833824,ssRNA(+)
2170101,ssRNA(+)
1168550,ssRNA(-)
2202146,ssDNA
1705091,ssDNA
2664236,ssRNA(+)
339965,ssDNA
1461792,ssDNA
377610,ssDNA
1333313,ssDNA
329290,ssDNA
741733,ssDNA
643133,ssDNA
377462,ssDNA
642493,ssDNA
221036,ssDNA
1633139,ssDNA
911574,ssDNA
676044,ssDNA
2030909,ssDNA
222475,ssDNA
290030,ssDNA
565624,ssRNA(+)
368736,ssRNA(+)
2293720,ssRNA(+)
2069326,dsRNA
471717,ssRNA(+)
2169825,ssDNA
11987,ssRNA(+)
255255,ssRNA(+)
2575594,ssDNA
508748,ssDNA
360580,ssDNA
360579,ssDNA
1455652,ssDNA
1455653,ssDNA
1455654,ssDNA
390440,ssDNA
447600,ssDNA
265877,ssRNA(+)
300740,ssRNA(+)
301865,ssRNA(+)
1093773,ssRNA(+)
2049883,ssDNA
1431395,ssDNA
268776,ssDNA
208086,ssRNA(+)
167129,ssRNA(+)
2497337,ssRNA(-)
1631303,ssDNA
2137858,ssRNA(+)
1238162,ssDNA
160844,ssRNA(+)
394036,ssRNA(+)
48200,ssRNA(+)
160842,ssRNA(+)
12180,ssRNA(+)
367682,ssRNA(+)
160843,ssRNA(+)
1778580,ssRNA(+)
2560614,ssRNA(+)
312009,ssRNA(+)
797075,ssRNA(+)
333348,ssRNA(+)
424679,ssRNA(+)
2608606,ssRNA(+)
283876,ssRNA(+)
56879,ssRNA(+)
146762,ssRNA(+)
497863,ssDNA
112437,ssRNA(+)
31749,ssRNA(+)
2020286,ssRNA(+)
2020287,ssRNA(+)
12238,ssRNA(+)
908125,ssDNA
908127,ssDNA
912034,ssDNA
908124,ssDNA
2010323,ssDNA
163654,ssDNA
743026,ssDNA
401040,ssDNA
227137,ssDNA
47669,ssRNA(+)
82791,ssRNA(+)
295090,ssRNA(+)
1250316,Unknown
43130,ssRNA(+)
12153,ssRNA(+)
2170046,ssRNA(-)
473784,ssRNA(+)
2706523,ssDNA
2200716,ssRNA(+)
253702,ssRNA(+)
12204,ssRNA(+)
186642,ssRNA(+)
186643,ssRNA(+)
362692,dsRNA
362693,dsRNA
1602199,ssDNA
1505530,dsDNA
2303411,ssRNA(+)
1777016,dsRNA
2248770,dsRNA
796352,ssRNA(+)
2282645,Unknown
154834,Unknown
40279,ssRNA(+)
10826,ssDNA
913600,ssDNA
1112202,ssDNA
714640,ssDNA
1036255,ssDNA
1507984,ssDNA
1504733,Unknown
271479,ssDNA
53260,ssDNA
46917,ssRNA(+)
685899,ssRNA(+)
1497848,dsRNA
12181,ssRNA(+)
12205,ssRNA(+)
35281,ssRNA(+)
2058396,ssRNA(+)
2730579,ssRNA(+)
2558065,ssDNA
2558066,ssDNA
12777,ssRNA(+)
1196236,ssDNA
1072672,ssDNA
551003,ssRNA(+)
2294149,ssRNA(+)
379892,ssRNA(+)
2162638,ssDNA
1032457,ssRNA(+)
185692,ssRNA(+)
2518104,ssRNA(+)
2006498,ssRNA(+)
471498,ssRNA(+)
183585,ssRNA(+)
1955730,ssRNA(+)
193121,ssRNA(+)
193120,ssRNA(+)
1931113,ssDNA
1931111,ssDNA
1441797,ssDNA
1441798,ssDNA
40687,ssRNA(-)
35593,dsDNA
33763,ssRNA(+)
12208,ssRNA(+)
199361,ssRNA(+)
157777,ssRNA(+)
1856031,ssRNA(+)
167021,ssRNA(+)
35291,ssRNA(+)
35280,ssRNA(+)
167019,ssRNA(+)
255587,ssRNA(+)
167020,ssRNA(+)
671126,dsDNA
221262,ssRNA(+)
112229,ssRNA(+)
1462681,ssRNA(+)
2073163,ssRNA(+)
83839,ssDNA
436242,ssDNA
519015,ssDNA
12239,ssRNA(+)
12209,ssRNA(+)
255066,ssRNA(+)
2560636,ssRNA(+)
1965355,ssRNA(+)
909827,ssRNA(+)
1803898,ssRNA(+)
1987360,ssDNA
881944,ssDNA
1828512,ssDNA
260378,ssDNA
1188812,ssDNA
1131702,dsRNA
1211481,Unknown
1211480,ssRNA(-)
1493829,ssRNA(+)
187978,ssRNA(+)
59504,dsDNA
457382,ssRNA(+)
1188792,dsRNA
1188793,dsRNA
2268393,dsRNA
475777,ssRNA(+)
437470,ssRNA(+)
436066,ssRNA(+)
72539,ssRNA(+)
2607629,ssRNA(+)
1905830,ssRNA(-)
2033633,dsDNA
2034763,dsDNA
180903,ssRNA(+)
136234,ssRNA(+)
373861,ssRNA(+)
2267679,dsDNA
262957,dsDNA
2093224,ssRNA(+)
1176736,ssRNA(+)
28354,ssRNA(+)
1830242,ssDNA
1331744,ssRNA(+)
2320870,ssRNA(+)
1403565,ssRNA(+)
104390,ssRNA(+)
675077,ssRNA(+)
1501716,ssRNA(+)
12211,ssRNA(+)
1985392,ssDNA
305785,ssRNA(+)
113553,ssRNA(+)
1220025,ssRNA(+)
2093274,ssDNA
2528410,dsDNA
12166,ssRNA(+)
12182,ssRNA(+)
138982,ssRNA(+)
12045,ssRNA(+)
1725329,ssRNA(+)
12215,ssRNA(+)
1046402,ssRNA(+)
12167,ssRNA(+)
329164,ssRNA(+)
12169,ssRNA(+)
36403,ssRNA(+)
40640,ssRNA(+)
12183,ssRNA(+)
12216,ssRNA(+)
195060,ssRNA(-)
2283800,ssRNA(+)
44562,ssRNA(+)
1225069,ssDNA
1367126,ssDNA
1198134,ssDNA
2022321,ssDNA
1472425,ssRNA(+)
2518373,ssRNA(+)
662596,ssDNA
435646,ssDNA
1874886,ssDNA
341111,ssRNA(+)
326941,ssRNA(+)
758677,ssRNA(-)
1123754,ssRNA(+)
590403,ssRNA(+)
1959287,ssRNA(+)
425279,ssRNA(+)
2316740,ssRNA(+)
878260,dsRNA
104392,ssRNA(+)
1569057,ssRNA(+)
51680,ssRNA(+)
2012856,ssDNA
2012857,ssDNA
1931356,ssRNA(-)
59380,ssRNA(-)
10654,dsDNA
35287,ssRNA(+)
2021212,ssRNA(+)
31744,ssRNA(+)
535898,ssRNA(+)
875323,ssDNA
1543207,ssRNA(+)
474454,ssRNA(+)
1048434,ssRNA(+)
1213588,dsDNA
1432563,ssRNA(+)
1243178,ssRNA(+)
198310,dsDNA
587370,dsDNA
40666,ssRNA(+)
119910,ssRNA(+)
683179,ssDNA
2070152,ssRNA(+)
52274,ssRNA(+)
2419804,ssRNA(+)
2419805,dsRNA
104393,ssRNA(+)
31503,Unknown
12881,Unknown
12444,Unknown
2025096,Unknown
1130981,ssDNA
1577997,ssRNA(+)
157018,ssRNA(+)
253700,ssRNA(+)
310103,ssDNA
1884991,ssDNA
1881013,ssRNA(+)
31770,ssRNA(+)
62059,ssRNA(+)
666145,ssDNA
536082,ssDNA
223318,ssDNA
2169843,ssDNA
337824,ssDNA
337823,ssDNA
1266995,ssDNA
191460,ssDNA
858513,ssDNA
1266993,ssDNA
536083,ssDNA
1266994,ssDNA
291270,ssDNA
290090,ssDNA
1266977,ssDNA
447597,ssDNA
390441,ssDNA
447602,ssDNA
326489,ssDNA
1418029,ssDNA
379728,ssDNA
371401,ssDNA
12471,ssRNA(+)
11307,ssRNA(-)
1980161,ssDNA
1980165,ssDNA
1980168,ssDNA
1980173,ssDNA
1980174,ssDNA
2596883,ssDNA
32619,ssRNA(+)
12139,ssRNA(+)
196398,ssRNA(+)
591166,dsRNA
378833,ssRNA(+)
408136,ssDNA
10651,dsDNA
85753,ssDNA
