,tileID,ratio_rep1,coverage_rep1,ratio_rep2,coverage_rep2,iscontrol,log_cov_rep1,log_cov_rep2
0,A1,0.7599638685528213,0.0013450325437355823,0.6971398156884888,0.001064661596738186,yes,-2.871267207562095,-2.9727884110266585
1,A6774_gp2-004,0.8831096803557282,0.0030042826668658456,0.8059593011048118,0.002933608875056485,no,-2.522259207858042,-2.5325977891729554
2,A6I62_gp2-081,1.5760383907682676,0.004681365265380962,1.636973573647857,0.004369514063147015,no,-2.3296274715513596,-2.3595668585509304
3,A8,0.8955608799167029,0.0007507514696630332,0.806822856071445,0.0008122061483264299,yes,-3.1245038089579245,-3.0903337272639395
4,A8V28_gp4-042,0.8582149532210901,0.0005591055587847657,0.8139375744078658,0.0006075940907132565,no,-3.2525061898419376,-3.2163864586129125
5,A8V28_gp5-019,0.7569468374689978,0.00043393775423380314,0.7725238062682543,0.000673616838520051,no,-3.3625725629564958,-3.1715870652362272
6,A996_gp2-042,0.7057908149693174,0.0004471099526386052,0.7043494159341541,0.0004267245750848744,no,-3.349585662657313,-3.3698523453843645
7,A996_gp2-043,0.7675917070900962,0.0005093746578606584,0.8754022217761652,0.0004925964568584057,no,-3.29296266562496,-3.307508716273564
8,A996_gp2-044,0.7931456136355735,0.0012118635330453538,0.9588763755251396,0.0013781989303673675,no,-2.9165462829603555,-2.8606880914810677
9,A996_gp2-045,0.6106693400458749,0.00023595046189409617,0.9949810818759095,0.0002619411502531777,no,-3.627179168149975,-3.5817962697151207
10,AA15_gp1-097,1.1495464432020472,0.002151558378534296,1.204320992013312,0.002442407929005764,no,-2.6672468656486608,-2.612181798818361
11,AA15_gp1-098,1.329552581494971,0.0002409937753382611,0.6375320781601357,0.00018952545428685644,no,-3.617994174732837,-3.7223324536962283
12,ABY30_gp3-041,0.9301060329221105,0.0028519405531663654,0.8900804051004942,0.0028666054980334803,no,-2.544859531309964,-2.5426320705051477
13,ABY30_gp3-152,0.7339910577547359,0.0018417457184769237,0.7632554287393662,0.0018291752202992963,no,-2.7347703310802496,-2.7377446906065606
14,AL2-1,0.8533056231117676,0.0008016953193901677,0.8808942232834379,0.0006763135688646301,no,-3.095990651975714,-3.1698518992463716
15,AL2-2,0.6334020463419576,0.0020659710086084254,0.757452934808854,0.0020836673601601053,no,-2.684875777148308,-2.681171611273431
16,AL2-3,1.4905520494305384,0.00208982566840129,1.5568891199492791,0.0020837993679392102,no,-2.6798899408789647,-2.6811440980363526
17,AOG67_gp1-436,0.9654911821457852,0.002693959291522988,0.9274571251425276,0.0027237542227874167,no,-2.5696089711967414,-2.564832083434315
18,APL28_gp4-002,0.9480873875188512,0.000579363931775673,0.998277853341316,0.0005424953973601989,no,-3.2370485452357682,-3.2656039421053267
19,AVT81_gp1-348,0.8147451978464597,0.00014404299031034785,0.6016143054135835,0.00014468052589937936,no,-3.8415078713204482,-3.839589921290129
20,AVT81_gp1-413,0.8742929253293062,0.0010176853255432227,0.8525484857629744,0.0011166726617056635,no,-2.9923864877225013,-2.9520741160959223
21,AWMV_gp1-125,0.6244223937122839,0.001587792542769479,0.7080655047671509,0.0017236444300317093,no,-2.7992062420954182,-2.763552319718905
22,AXI62_gp1-015,1.297843747169601,0.005216871522015606,1.3012346091841975,0.0044261265421290195,no,-2.2825898586900717,-2.353976173833353
23,AXI67_gp4-008,1.5314949230706167,0.0009544204695537614,1.6408979777557102,0.0009027257682843315,no,-3.020260254879506,-3.0444441604382653
24,AXI67_gp4-009,1.381453474147574,0.00024407934685473332,1.8086201737843517,0.0002635629601107568,no,-3.612468967516439,-3.5791156234778616
25,AcLVgp1-148,0.873773030580508,0.002194628700943536,0.9021464257743509,0.0024360715556087107,no,-2.658638945477178,-2.6133099591632996
26,AcLVgp5-021,0.8767317434852394,0.0014794570628359615,1.2891558119770379,0.0012275969126624086,no,-2.8298976345209232,-2.910944212465179
27,AlVX_gp1-058,0.8817083028766414,0.0018569607780236658,0.7928784316629065,0.0017452371310425006,no,-2.731197269156171,-2.7581455556924825
28,ApLV_gp1-041,0.961819523935269,0.003987579829853075,1.0758086469554933,0.004518249113690342,no,-2.3992906094350404,-2.3450298279268256
29,ApLV_gp1-042,1.0329865066097892,0.0015516381565178496,1.082170376686856,0.0016038756578749108,no,-2.809209549153576,-2.794829303877283
30,B1U05_gp3-033,0.9583357305314564,0.00024490925919364655,0.9362606457785836,0.00023529443712807044,no,-3.6109947953542885,-3.62838834036814
31,B1U05_gp3-034,1.0225447526514628,0.0006482040962983462,0.9042797473918978,0.0005847756031822022,no,-3.1882882287895433,-3.2330107544229088
32,B1U05_gp3-084,0.9504009381822867,0.0005347189039028543,1.1334409473252818,0.0004970092883313534,no,-3.271874462027258,-3.30363549490176
33,B390_gp1-170,1.0097830775848353,0.0011063795467891276,0.8709572607727896,0.0011757555719823522,no,-2.956095861458692,-2.9296829544271263
34,B391_gp1-120,0.6575787589195352,0.00010727148975542377,0.8884609892744539,8.957670725000678e-05,no,-3.969515687979556,-4.04780490582787
35,B5V04_gp1-445,1.2225030221441244,0.0036563596874124534,1.2452143700534641,0.0036249147559766427,no,-2.4369510879451144,-2.4407022019051947
36,B5V04_gp1-447,0.7231803032746988,0.004381788190836853,0.8778618226735506,0.004657366454613142,no,-2.3583486194211387,-2.33185958921886
37,B714_gp2-025,1.0134747055732058,0.0013412872983086918,1.035308410722038,0.0013832152259733678,no,-2.872478188064632,-2.8591102391385435
38,B714_gp2-026,0.8884352853120018,0.00045681354306282125,1.0614320348417519,0.0004978013350059851,no,-3.340261029126779,-3.3029439430328593
39,B714_gp6-186,0.7284644069257417,0.0006461186755492823,0.9305601914506628,0.0007014327634029478,no,-3.189687705839908,-3.1540139524083353
