is_selected,tax_id,zscore
False,10651,3.9368698596954346
False,10820,3.248586654663086
False,10830,4.426313400268555
False,10834,3.7650668621063232
False,10836,3.331977128982544
False,11986,1.006854772567749
False,11987,3.4866256713867188
False,11988,2.3099312782287598
False,12041,2.3210341930389404
False,12049,3.268404245376587
False,12055,0.9697796106338501
False,12056,0.6891032457351685
False,12139,3.1124045848846436
False,12142,1.827021837234497
False,12143,2.2196857929229736
False,12144,1.6059272289276123
False,12145,0.49169647693634033
False,12149,0.5226461887359619
False,12150,1.1901639699935913
False,12151,2.123793125152588
False,12152,2.440412759780884
False,12153,4.1674957275390625
False,12154,0.5448445081710815
False,12158,4.563989639282227
False,12164,2.527766227722168
False,12171,3.103717565536499
False,12175,3.229987144470215
False,12181,4.532554626464844
False,12196,3.815784454345703
False,12198,4.8507866859436035
False,12199,3.1665549278259277
False,12201,4.322092056274414
False,12229,3.3836023807525635
False,12235,1.8520917892456055
False,12238,0.7860499620437622
False,12239,0.8257310390472412
False,12241,0.6019570827484131
False,12242,1.2235013246536255
False,12253,1.1646933555603027
False,12432,4.802939414978027
False,12444,0.5874346494674683
False,12470,2.9372119903564453
False,12627,1.052538275718689
False,12881,0.29590415954589844
False,28350,3.2358007431030273
False,28354,3.30155611038208
False,29272,2.161834716796875
False,31503,1.0636279582977295
False,31559,3.294628143310547
False,31742,4.532906532287598
False,31743,4.403324127197266
False,31749,1.1008422374725342
False,31770,3.196925640106201
False,33761,1.0749890804290771
False,33763,4.839530944824219
False,35280,0.7848889827728271
False,35281,0.9773657321929932
False,35284,4.612200736999512
False,35286,4.351439476013184
False,35291,0.8284682035446167
False,35350,1.6199231147766113
False,35593,3.378328800201416
False,36403,4.898907661437988
False,36772,3.1642889976501465
False,38172,3.2739346027374268
False,39046,4.444893836975098
False,39443,0.936510443687439
False,40279,0.8159184455871582
False,41460,4.691678047180176
False,44562,2.0569679737091064
False,47669,2.3506076335906982
False,47736,2.4042232036590576
False,47740,1.661866545677185
False,47900,4.68869161605835
False,47985,4.75618839263916
False,48201,4.16213321685791
False,48876,1.136553406715393
False,49267,3.413086414337158
False,51617,0.0845801830291748
False,52274,0.06814384460449219
False,55074,2.5321669578552246
False,56879,4.0278778076171875
False,58177,1.843218445777893
False,59749,4.707747459411621
False,67762,3.2261486053466797
False,68033,3.4552950859069824
False,72539,3.822444200515747
False,73819,3.472355842590332
False,73840,4.603388786315918
False,77344,1.337126612663269
False,77811,1.1139492988586426
False,79917,3.5085558891296387
False,82847,3.2416152954101562
False,83839,4.140589237213135
False,85753,3.773836612701416
False,92963,4.706058502197266
False,96054,3.769514560699463
False,99585,1.004197359085083
False,100755,3.994170665740967
False,101281,4.451595306396484
False,103722,1.4063894748687744
False,103723,4.724392414093018
False,104263,4.648704528808594
False,104393,3.6914572715759277
False,104664,4.32419490814209
False,107324,3.927669048309326
False,111418,1.3564047813415527
False,111427,3.6289544105529785
False,111970,2.2127888202667236
False,112436,4.098931312561035
False,113553,2.5901055335998535
False,114891,4.598628997802734
False,114923,3.2849812507629395
False,119910,4.839216232299805
False,120168,4.510281562805176
False,128941,3.787860870361328
False,129143,4.890704154968262
False,131226,4.2488112449646
False,132477,4.213235855102539
False,134374,1.4522502422332764
False,135656,1.3497545719146729
False,136234,4.336214542388916
False,137556,4.843449592590332
False,141860,3.230109214782715
False,142843,1.9748929738998413
False,146499,2.025132894515991
False,146762,2.180556297302246
False,150285,4.596030235290527
False,154834,0.9902456998825073
False,157018,4.778480529785156
False,163654,0.04151630401611328
False,165432,2.432727813720703
False,167018,0.8062646389007568
False,167019,1.0088801383972168
False,167020,0.6278647184371948
False,167021,0.6697614192962646
False,167132,2.6312053203582764
False,172220,4.04461145401001
False,172278,0.12465906143188477
False,175814,4.6576433181762695
False,180526,0.2487010955810547
False,180587,3.837228775024414
False,184020,1.5564377307891846
False,185692,0.2518000602722168
False,185750,1.2924944162368774
False,185793,0.3255753517150879
False,185955,4.7478132247924805
False,186371,3.20393705368042
False,186637,3.1877503395080566
False,186642,1.957283616065979
False,186643,1.6874545812606812
False,187850,0.437042236328125
False,188333,3.8410327434539795
False,190503,1.9430772066116333
False,190811,3.6950948238372803
False,191460,2.6406302452087402
False,193120,3.3639562129974365
False,196093,3.5397801399230957
False,196375,1.2547001838684082
False,196398,3.139303207397461
False,196691,4.323676109313965
False,198310,3.2121353149414062
False,199361,4.310449600219727
False,202568,3.651555061340332
False,204928,2.2273595333099365
False,207697,0.5084799528121948
False,208084,3.1103503704071045
False,208086,2.8378851413726807
False,208177,0.4079623222351074
False,211866,2.8741836547851562
False,214439,4.19747257232666
False,218282,4.474112510681152
False,218845,0.6086112260818481
False,219596,0.572982668876648
False,219744,2.4764554500579834
False,220813,1.472551941871643
False,221036,0.12017607688903809
False,222078,3.4222981929779053
False,222441,0.4706745147705078
False,222450,4.58559513092041
False,222456,3.352384328842163
False,222459,0.3565194606781006
False,222464,4.710747718811035
False,222474,2.6906111240386963
False,222475,2.9874837398529053
False,223265,1.824355125427246
False,223276,2.2271406650543213
False,223318,4.077786445617676
False,223323,0.5829638242721558
False,223332,4.43570613861084
False,223345,3.1631500720977783
False,223352,4.032502174377441
False,223356,0.9436348676681519
False,223357,3.2525718212127686
False,228578,1.6467750072479248
False,229030,0.33730387687683105
False,229636,4.247624397277832
False,232380,3.109246253967285
False,233051,3.0319228172302246
False,234829,1.0383296012878418
False,241525,4.399175643920898
False,244050,2.7966442108154297
False,255255,3.1220126152038574
False,255587,2.577706813812256
False,260374,3.9123246669769287
False,260377,4.423189163208008
False,260378,3.0181543827056885
False,260379,4.596726417541504
False,263001,2.0098164081573486
False,263578,1.0415114164352417
False,268776,2.679184675216675
False,269095,0.7381608486175537
False,269275,3.8045740127563477
False,270117,3.683400869369507
False,270146,4.082730293273926
False,270256,2.1337993144989014
False,271479,0.5387015342712402
False,278069,2.353508949279785
False,283876,3.9082629680633545
False,290031,1.3523666858673096
False,290090,3.4844415187835693
False,291270,1.0493619441986084
False,295090,0.9113374948501587
False,297249,3.6207222938537598
False,298650,2.0175411701202393
False,300411,3.1327896118164062
False,304222,2.0944771766662598
False,306025,0.3846263885498047
False,307111,0.6739882230758667
False,307677,2.5993404388427734
False,310103,2.589087724685669
False,312008,4.166215896606445
False,312009,3.427903175354004
False,312295,4.227598190307617
False,316983,3.7277915477752686
False,325111,3.221966028213501
False,325113,2.1725103855133057
False,326202,4.742546081542969
False,326489,-0.0078051090240478516
False,326811,3.287369966506958
False,327387,0.695249080657959
False,329290,3.2040059566497803
False,333348,4.64592170715332
False,335404,3.0545496940612793
False,339965,0.765153169631958
False,341035,4.176074028015137
False,341111,2.6934986114501953
False,341167,4.343264579772949
False,345030,2.6221468448638916
False,351427,4.620311737060547
False,352882,2.5707502365112305
False,360580,0.30626678466796875
False,361697,2.5344462394714355
False,368735,1.43552565574646
False,368736,4.611093521118164
False,369762,2.292459011077881
False,371401,1.5446174144744873
False,377462,4.1701979637146
False,378833,3.27254056930542
False,379892,2.5103020668029785
False,390440,2.7392282485961914
False,390441,3.1703224182128906
False,390442,0.05972766876220703
False,390443,2.7488303184509277
False,390444,4.637143611907959
False,391228,3.7713165283203125
False,392761,2.848132848739624
False,395349,3.9967703819274902
False,400835,3.6451737880706787
False,401040,3.9906764030456543
False,402399,0.7301602363586426
False,407837,3.6332969665527344
False,408136,3.403165817260742
False,411248,0.4785184860229492
False,412688,0.5499053001403809
False,421012,2.9217164516448975
False,425279,0.917487621307373
False,425303,3.246741771697998
False,430710,1.7986130714416504
False,433462,4.780712604522705
False,435487,4.881564140319824
False,435646,4.258297920227051
False,436242,2.1186861991882324
False,436243,0.25185084342956543
False,436246,0.5918940305709839
False,437061,0.09975194931030273
False,437063,3.1992876529693604
False,437470,4.085691452026367
False,439421,4.6090826988220215
False,439422,4.223359107971191
False,439423,4.269496440887451
False,439425,1.7498297691345215
False,439426,4.876858234405518
False,439427,3.486030101776123
False,445227,1.2665263414382935
False,447171,4.752602577209473
False,447597,0.950202226638794
