,tileID,ratio_rep1,coverage_rep1,ratio_rep2,coverage_rep2,iscontrol,log_cov_rep1,log_cov_rep2
0,A1,0.4209127499026071,0.0012320293125704488,0.5581640592413196,0.001573284402002979,yes,-2.9093789592688704,-2.8031927630371998
1,A1H81_gp4-009,1.545226257515906,0.004592448879180475,1.531834861826583,0.004140982398210814,no,-2.337955669341892,-2.3828966155193947
2,A328_gp1-125,1.356839696845043,0.0009914681437657787,1.1613111476705231,0.0009180433316189481,no,-3.003721235275114,-3.0371368196278716
3,A328_gp1-126,0.9651092041188767,0.0006336988699281222,0.9816985111514931,0.0006974814538521838,no,-3.198117067349146,-3.156467335863313
4,A6774_gp1-024,1.482717523924769,0.00020253923660898274,1.2914954262038745,0.0001527843657358723,no,-3.6934908312536807,-3.8159210843861655
5,A6774_gp1-025,1.2082811967367182,0.001458275520677018,0.8084117725279376,0.0013788734206957405,no,-2.8361604144232553,-2.860475599825968
6,A6774_gp2-004,0.740758026926698,0.0018420561255392725,0.8174896112656829,0.001991128818022663,no,-2.734697141435231,-2.7009006419581922
7,A6I62_gp2-081,1.4674786177991814,0.0023458729130358454,1.3493485943800878,0.0024112091028092135,no,-2.6296955193570044,-2.6177651254755494
8,A6I62_gp2-082,1.4814491402363534,0.0010815476525489497,1.1631046208294518,0.0010669478074358462,no,-2.9659543409653994,-2.9718568247151795
9,A8,0.7590035097378287,0.0006319531430137196,0.6110517482852935,0.0008497835733834378,yes,-3.199315121852093,-3.0706916682310657
10,A8V28_gp1-000,1.5646931307762482,0.00014779324057331906,1.4963180459858765,0.00010721209939944784,no,-3.8303454282472673,-3.9697561996628923
11,A8V28_gp4-042,1.1066639950935977,0.00029942708035832373,0.9583685588248639,0.00027222798250700115,no,-3.5237089243725825,-3.565067235400982
12,A8V28_gp4-043,1.339815571752627,0.00017768008534789056,0.8946972424932537,0.00015138146768607375,no,-3.7503612458479827,-3.819927288470739
13,A8V28_gp5-019,1.1428186259730466,0.00017411880244250937,0.775880603305206,0.0001916709460537256,no,-3.7591543285029148,-3.7174437135425284
14,A8V28_gp8-000,0.6047935946169586,6.885146950403619e-05,0.8237175157530665,7.641410314996425e-05,no,-4.1620867861160855,-4.1168264797102
15,A9281_gp1-268,0.9810519300022612,0.00014164828183462212,1.5433351525344154,0.00017729124104329057,no,-3.8487886890169514,-3.75131271990123
16,A9281_gp1-269,1.3394896907929574,0.0002359873642889354,1.3078381448021805,0.00025008849765861796,no,-3.6271112502777845,-3.60190628235293
17,A993_gp1-004,1.0525258032570834,0.00022069479651876914,1.240403463222366,0.0001946959449736037,no,-3.656207906393515,-3.710643093646518
18,A993_gp1-005,1.1459669851941259,0.00041579723647239703,1.4185668517915866,0.00041977340083815707,no,-3.381118401461445,-3.376985084179533
19,A996_gp1-147,1.6213990766493187,0.0005743790693767238,0.8624519463057227,0.0004669239274806049,no,-3.2408013943573515,-3.3307538701117507
20,A996_gp1-148,1.0594255851498486,0.0006620145604797314,0.7724758209632887,0.0006314356441015119,no,-3.179132458496161,-3.1996709061313653
21,A996_gp2-042,0.6939041653650616,0.00021619082107961058,0.7159956685937995,0.0002216798121501975,no,-3.6651627490464413,-3.6542738552435403
22,A996_gp2-043,1.189128884619165,0.0002911174202457676,0.7387245205792247,0.00025971150146895483,no,-3.535931805930999,-3.5855088169710227
23,A996_gp2-044,0.6728598149129856,0.0005551062442417198,0.7895230606367306,0.0005363454606636045,no,-3.2556238873781553,-3.27055539065841
